,Error,mCE,Gauss,Shot,Impulse,Defocus,Glass,Motion,Zoom,Snow,Frost,Fog,Bright,Contrast,Elastic,Pixel,JPEG
2layers_push3_pull5_avg3_inhibition0.5,0.299305260181427,1.1419836282730103,1.2080283164978027,1.2043570280075073,1.204693078994751,1.110494613647461,1.0472601652145386,1.0505051612854004,1.064223289489746,1.1667839288711548,1.1386386156082153,1.184000015258789,1.2279828786849976,1.0999037027359009,1.1204441785812378,1.0984269380569458,1.2040122747421265
2layers_push3_pull5_avg3_inhibition1.0,0.31785064935684204,1.195252776145935,1.2548396587371826,1.2650115489959717,1.2295235395431519,1.172149658203125,1.0320290327072144,1.1100633144378662,1.1133840084075928,1.2022483348846436,1.2010180950164795,1.2871335744857788,1.2990784645080566,1.1680718660354614,1.1835299730300903,1.1452807188034058,1.265429973602295
2layers_push3_pull5_avg3_inhibition1.5,0.34446680545806885,1.2516427040100098,1.254438042640686,1.2801015377044678,1.2247858047485352,1.2552142143249512,1.0419631004333496,1.1922235488891602,1.183449149131775,1.2620892524719238,1.2866872549057007,1.3789386749267578,1.4024863243103027,1.207358479499817,1.2608540058135986,1.1938917636871338,1.3501605987548828
2layers_push5_pull5_avg0_inhibition0.5,0.26085132360458374,1.0591232776641846,1.058785319328308,1.0693020820617676,1.0531786680221558,1.0905715227127075,1.0199352502822876,1.0526093244552612,1.0603183507919312,1.0597360134124756,1.0451163053512573,1.081221103668213,1.065806269645691,1.0404108762741089,1.0763354301452637,1.0241671800613403,1.0893555879592896
2layers_push5_pull5_avg0_inhibition1.0,0.2735644578933716,1.0629814863204956,1.073914885520935,1.0753586292266846,1.0760856866836548,1.0785101652145386,0.9862751364707947,1.0466450452804565,1.0433896780014038,1.0602582693099976,1.0626122951507568,1.0451719760894775,1.1275643110275269,1.0177136659622192,1.0714629888534546,1.0622634887695312,1.117497205734253
2layers_push5_pull5_avg0_inhibition1.5,0.2630290389060974,1.0583821535110474,1.023690104484558,1.0350264310836792,1.0183347463607788,1.1066590547561646,1.0098700523376465,1.0506279468536377,1.0924863815307617,1.0625559091567993,1.0364558696746826,1.1035066843032837,1.0861594676971436,1.0345423221588135,1.0968517065048218,1.0094048976898193,1.1095616817474365
2layers_push5_pull5_avg3_inhibition0.5,0.2733476758003235,1.053194284439087,1.0609347820281982,1.0729107856750488,1.0599377155303955,1.0511282682418823,0.9398807287216187,1.026423454284668,1.013994812965393,1.0789679288864136,1.0610020160675049,1.0910334587097168,1.121692419052124,1.0521373748779297,1.053203821182251,0.9981429576873779,1.1165242195129395
2layers_push5_pull5_avg3_inhibition1.0,0.2871994972229004,1.0755208730697632,1.0435906648635864,1.076705813407898,1.0346163511276245,1.08069908618927,0.9213382601737976,1.0624793767929077,1.037286639213562,1.110469937324524,1.1103763580322266,1.1454198360443115,1.1856329441070557,1.0976637601852417,1.0888224840164185,0.995471715927124,1.1422386169433594
2layers_push5_pull5_avg3_inhibition1.5,0.30866706371307373,1.0968060493469238,1.0765951871871948,1.1237417459487915,1.0230140686035156,1.078226923942566,0.9173885583877563,1.0318156480789185,1.0212794542312622,1.1315454244613647,1.1108334064483643,1.2002174854278564,1.233769416809082,1.1329002380371094,1.110153317451477,1.048805594444275,1.2118046283721924
2layers_push5_pull5_avg5_inhibition0.5,0.2882313132286072,1.106101632118225,1.0660117864608765,1.0940032005310059,1.0370655059814453,1.1368358135223389,0.9854024648666382,1.1207976341247559,1.110923409461975,1.1023457050323486,1.114500641822815,1.1678653955459595,1.1793123483657837,1.0771476030349731,1.1220887899398804,1.1198115348815918,1.1574114561080933
2layers_push5_pull5_avg5_inhibition1.0,0.2878795266151428,1.1015896797180176,1.046243667602539,1.0819889307022095,1.0321588516235352,1.125095248222351,0.9841896891593933,1.1362301111221313,1.0902947187423706,1.096572756767273,1.085990071296692,1.206529140472412,1.1726024150848389,1.1223523616790771,1.1346631050109863,1.0536750555038452,1.1552588939666748
2layers_push5_pull5_avg5_inhibition1.5,0.30750173330307007,1.1610814332962036,1.0814368724822998,1.1123722791671753,1.056253433227539,1.2066125869750977,0.9555569291114807,1.1657291650772095,1.181197166442871,1.1443203687667847,1.18155837059021,1.3048526048660278,1.2849085330963135,1.1962008476257324,1.193089485168457,1.1361098289489746,1.2160234451293945
