,Error,Rel. mCE,Gauss,Shot,Impulse,Defocus,Glass,Motion,Zoom,Snow,Frost,Fog,Bright,Contrast,Elastic,Pixel,JPEG
push5_pull5_avg5_inhibition1,0.2814968228340149,0.8499868512153625,0.9196998476982117,0.9079076647758484,0.8821457624435425,0.8233442306518555,0.9039644002914429,0.8835190534591675,0.872728168964386,0.8413364887237549,0.8529000878334045,0.7449011206626892,0.8341033458709717,0.7038646936416626,0.8465358018875122,0.8928853869438171,0.8399664163589478
push5_pull5_avg5_inhibition2,0.32131636142730713,0.6876912713050842,0.7634126543998718,0.7514891624450684,0.7215983867645264,0.6995159387588501,0.8058934807777405,0.7171016335487366,0.7337568402290344,0.6795874238014221,0.6248595118522644,0.5360568165779114,0.6520724892616272,0.4745802879333496,0.7001581788063049,0.7670596837997437,0.6882256269454956
push5_pull5_avg5_inhibition3,0.39457523822784424,0.3727143108844757,0.47953885793685913,0.45940738916397095,0.44986698031425476,0.4118180572986603,0.4781922996044159,0.4048405587673187,0.43809422850608826,0.3826713562011719,0.2553892135620117,0.1653871238231659,0.36471831798553467,0.030459919944405556,0.4015296399593353,0.46058425307273865,0.4082159101963043
2layers_push3_pull3_avg0_inhibition0.5,0.2691042423248291,0.832541286945343,0.6900020837783813,0.7553695440292358,0.689602792263031,0.8825759291648865,0.8014459013938904,0.9107810258865356,0.8884775638580322,0.8591673374176025,0.8419943451881409,0.8318999409675598,0.8860939145088196,0.785836935043335,0.8855003714561462,0.905877947807312,0.8734935522079468
2layers_push3_pull3_avg0_inhibition1.0,0.2780058979988098,0.8014653921127319,0.6385412216186523,0.7189233899116516,0.5987917184829712,0.8285261392593384,0.7968780994415283,0.9101544618606567,0.8460415005683899,0.8259857892990112,0.8238328695297241,0.8331239223480225,0.8565837144851685,0.8172616958618164,0.8465138077735901,0.8484769463539124,0.8323461413383484
2layers_push3_pull3_avg0_inhibition1.5,0.27873796224594116,0.7975978851318359,0.6640620231628418,0.7267339825630188,0.6219148635864258,0.7965596914291382,0.7646793127059937,0.8871610760688782,0.8159100413322449,0.8236836791038513,0.8094397783279419,0.8056653738021851,0.8610577583312988,0.8018820285797119,0.8522711396217346,0.8906570076942444,0.8422926068305969
2layers_push3_pull3_avg3_inhibition0.5,0.28899097442626953,0.759288489818573,0.7176066637039185,0.7630813121795654,0.6624754071235657,0.747743546962738,0.7563664317131042,0.7901080846786499,0.7745622396469116,0.7946160435676575,0.7606613636016846,0.7099087834358215,0.8010560274124146,0.6504882574081421,0.792049765586853,0.8630343675613403,0.8055695295333862
2layers_push3_pull3_avg3_inhibition1.0,0.31767839193344116,0.6341537237167358,0.5597206950187683,0.6434553265571594,0.43751204013824463,0.6507505178451538,0.7000359296798706,0.6405853033065796,0.6763007640838623,0.6751866936683655,0.6326476335525513,0.5645217299461365,0.6701139211654663,0.5082591772079468,0.6795967817306519,0.7772443890571594,0.6963746547698975
2layers_push3_pull3_avg3_inhibition1.5,0.3264426589012146,0.6287310719490051,0.607319176197052,0.6611860990524292,0.5070008635520935,0.6303991675376892,0.7184069752693176,0.6210289001464844,0.6591977477073669,0.6600449681282043,0.6472190022468567,0.5343357920646667,0.6433464884757996,0.46804067492485046,0.6583544015884399,0.7408286929130554,0.6742584705352783
2layers_push3_pull5_avg0_inhibition0.5,0.30308008193969727,0.6752824187278748,0.5023815631866455,0.6180388331413269,0.3747249245643616,0.6689971089363098,0.6699413061141968,0.7418383359909058,0.7172641754150391,0.732045590877533,0.7479531764984131,0.7007507681846619,0.7583115100860596,0.6401941776275635,0.7495817542076111,0.7610287666320801,0.7461848258972168
