,Error,mCE,Gauss,Shot,Impulse,Defocus,Glass,Motion,Zoom,Snow,Frost,Fog,Bright,Contrast,Elastic,Pixel,JPEG
push5_pull5_avg0_inhibition1,0.26506561040878296,1.0379194021224976,1.048636555671692,1.058852195739746,1.051740050315857,1.0562498569488525,1.0038807392120361,1.0193779468536377,1.0349431037902832,1.0702561140060425,0.9901317954063416,1.0696865320205688,1.0559900999069214,1.0359563827514648,1.043896198272705,0.9635031819343567,1.0656895637512207
push5_pull5_avg0_inhibition2,0.25530123710632324,1.044433355331421,1.0185041427612305,1.0400017499923706,1.0117734670639038,1.064052700996399,1.015764594078064,1.0454862117767334,1.053112268447876,1.0728977918624878,1.0450090169906616,1.0793300867080688,1.0662391185760498,1.0390145778656006,1.0428138971328735,1.0100386142730713,1.0624620914459229
push5_pull5_avg0_inhibition3,0.2619289755821228,1.0417463779449463,1.1001896858215332,1.0985519886016846,1.1010220050811768,1.0385403633117676,0.9996462464332581,0.9860966205596924,1.0201358795166016,1.063631534576416,0.9903810620307922,1.0729397535324097,1.0174086093902588,1.0226049423217773,1.0379408597946167,0.9872062802314758,1.0898975133895874
push5_pull5_avg3_inhibition1,0.2876982092857361,1.0508755445480347,0.9280174374580383,0.9679135680198669,0.9394620060920715,1.0362074375152588,0.9739078879356384,1.0076026916503906,1.0314654111862183,1.1581990718841553,1.0520421266555786,1.1947749853134155,1.1708272695541382,1.1113781929016113,1.0864514112472534,0.9600891470909119,1.1447969675064087
push5_pull5_avg3_inhibition2,0.3005847930908203,1.0573416948318481,0.9172481298446655,0.9784427881240845,0.9181588292121887,0.9890450239181519,0.9445516467094421,1.0147684812545776,0.9704256653785706,1.1748723983764648,1.0840957164764404,1.2505279779434204,1.2217212915420532,1.161781907081604,1.0670368671417236,0.9983357787132263,1.1691124439239502
push5_pull5_avg3_inhibition3,0.3314248323440552,1.0916227102279663,0.8979440927505493,0.9840478301048279,0.8899854421615601,0.9893940091133118,0.9361779689788818,1.026655673980713,0.9916134476661682,1.2613106966018677,1.1700105667114258,1.2978814840316772,1.3398925065994263,1.1961967945098877,1.1055999994277954,1.0553148984909058,1.232313632965088
push5_pull5_avg5_inhibition1,0.2814968228340149,1.044128656387329,0.9604072570800781,0.980821430683136,0.9752638936042786,1.0353888273239136,0.9721028208732605,0.9892004132270813,1.0081102848052979,1.112470269203186,1.0307974815368652,1.1640864610671997,1.1324377059936523,1.107240080833435,1.0592113733291626,1.0107463598251343,1.123645305633545
push5_pull5_avg5_inhibition2,0.32131636142730713,1.1072380542755127,0.9797233939170837,1.035879135131836,0.9781855344772339,1.0374610424041748,0.9523043632507324,1.0228235721588135,1.034214973449707,1.2403123378753662,1.146666169166565,1.2851450443267822,1.3031980991363525,1.1754844188690186,1.1185203790664673,1.0550957918167114,1.2435553073883057
push5_pull5_avg5_inhibition3,0.39457523822784424,1.2356781959533691,1.0127407312393188,1.141614317893982,0.9714994430541992,1.0868014097213745,1.02048921585083,1.0892692804336548,1.1184197664260864,1.4744175672531128,1.311920166015625,1.4928516149520874,1.5356096029281616,1.3162205219268799,1.262431025505066,1.2352702617645264,1.4656192064285278
2layers_push3_pull3_avg0_inhibition0.5,0.2691042423248291,1.079107642173767,1.1461132764816284,1.171187400817871,1.098088026046753,1.0190105438232422,1.0727638006210327,0.9972080588340759,1.0248674154281616,1.1261935234069824,1.07309091091156,1.1020433902740479,1.0873087644577026,1.0787711143493652,1.0485732555389404,1.0313447713851929,1.1100503206253052
2layers_push3_pull3_avg0_inhibition1.0,0.2780058979988098,1.0882093906402588,1.1618123054504395,1.1850204467773438,1.1267629861831665,1.0395210981369019,1.0560097694396973,0.9771819710731506,1.0409892797470093,1.149871587753296,1.067588210105896,1.0760451555252075,1.1062530279159546,1.0377084016799927,1.0692635774612427,1.079743504524231,1.149370789527893
2layers_push3_pull3_avg0_inhibition1.5,0.27873796224594116,1.0879454612731934,1.1426095962524414,1.1750128269195557,1.1135127544403076,1.0621321201324463,1.0772361755371094,0.9928109049797058,1.0664187669754028,1.1511163711547852,1.0794800519943237,1.1044285297393799,1.0959445238113403,1.0465677976608276,1.0603302717208862,1.022064447402954,1.1295170783996582
2layers_push3_pull3_avg3_inhibition0.5,0.28899097442626953,1.1028245687484741,1.0829836130142212,1.1101740598678589,1.07247793674469,1.075538992881775,1.0601065158843994,1.042284369468689,1.0781750679016113,1.1633259057998657,1.0998033285140991,1.182093858718872,1.1624923944473267,1.1270482540130615,1.1023342609405518,1.027204990386963,1.156325340270996
2layers_push3_pull3_avg3_inhibition1.0,0.31767839193344116,1.152334213256836,1.1280958652496338,1.1569924354553223,1.1303499937057495,1.082948923110962,1.0356690883636475,1.0888196229934692,1.095300555229187,1.26020085811615,1.1485649347305298,1.2636916637420654,1.2851712703704834,1.160577654838562,1.1533645391464233,1.0527673959732056,1.2424968481063843
2layers_push3_pull3_avg3_inhibition1.5,0.3264426589012146,1.140457272529602,1.075868010520935,1.115323781967163,1.0775086879730225,1.078156590461731,1.0029300451278687,1.083364486694336,1.0888460874557495,1.2546621561050415,1.1120911836624146,1.2728596925735474,1.2998900413513184,1.1686183214187622,1.153396487236023,1.0739948749542236,1.2493494749069214
2layers_push3_pull5_avg0_inhibition0.5,0.30308008193969727,1.1414254903793335,1.1999750137329102,1.2221531867980957,1.19134521484375,1.1028316020965576,1.0898422002792358,1.046189308166504,1.0947641134262085,1.2173490524291992,1.075746774673462,1.1532329320907593,1.1856625080108643,1.1029471158981323,1.112256407737732,1.1184719800949097,1.2086161375045776
2layers_push3_pull5_avg0_inhibition1.0,0.28946805000305176,1.1028387546539307,1.0788941383361816,1.1131638288497925,1.0694239139556885,1.0840342044830322,1.0476919412612915,1.043870449066162,1.0854277610778809,1.1709372997283936,1.0890306234359741,1.1607608795166016,1.172512173652649,1.112886905670166,1.1036078929901123,1.0532729625701904,1.1570672988891602
2layers_push3_pull5_avg0_inhibition1.5,0.3103686571121216,1.1470423936843872,1.1562060117721558,1.1788219213485718,1.1471848487854004,1.0947728157043457,1.065441370010376,1.0759340524673462,1.0961837768554688,1.2314985990524292,1.119152545928955,1.1876246929168701,1.2551040649414062,1.1361624002456665,1.1185896396636963,1.130059838294983,1.2128973007202148
2layers_push3_pull5_avg3_inhibition0.5,0.299305260181427,1.1129753589630127,1.135282039642334,1.1494437456130981,1.1353579759597778,1.0514472723007202,1.0467389822006226,1.0252735614776611,1.0477687120437622,1.1984554529190063,1.0847774744033813,1.1765609979629517,1.2014087438583374,1.104270577430725,1.0893661975860596,1.0683997869491577,1.1800769567489624
2layers_push3_pull5_avg3_inhibition1.0,0.3175131678581238,1.1575626134872437,1.1400254964828491,1.191264033317566,1.1279391050338745,1.0854185819625854,1.0500251054763794,1.0782700777053833,1.0899173021316528,1.2451623678207397,1.1304905414581299,1.2787528038024902,1.2677552700042725,1.1830973625183105,1.1437797546386719,1.110695481300354,1.2408446073532104
2layers_push3_pull5_avg3_inhibition1.5,0.34446680545806885,1.2063535451889038,1.1161930561065674,1.169259786605835,1.1072587966918945,1.1344012022018433,1.071871042251587,1.1469546556472778,1.1502790451049805,1.3254666328430176,1.2057327032089233,1.3707202672958374,1.3741382360458374,1.229836106300354,1.218707799911499,1.1505299806594849,1.3239551782608032
2layers_push5_pull5_avg0_inhibition0.5,0.26085132360458374,1.046670913696289,1.02077317237854,1.0388611555099487,1.0213030576705933,1.0628725290298462,1.0409892797470093,1.037576675415039,1.0516453981399536,1.0686894655227661,1.0378985404968262,1.0733271837234497,1.0473999977111816,1.0457122325897217,1.057688593864441,1.0105538368225098,1.0847728252410889
2layers_push5_pull5_avg0_inhibition1.0,0.2735644578933716,1.047931432723999,1.0380592346191406,1.0456891059875488,1.0425658226013184,1.042121171951294,0.9908170104026794,1.0313736200332642,1.033892035484314,1.0916001796722412,1.0292435884475708,1.0429739952087402,1.107148289680481,1.015679121017456,1.0549575090408325,1.0465576648712158,1.10629403591156
2layers_push5_pull5_avg0_inhibition1.5,0.2630290389060974,1.0441771745681763,0.9724386930465698,0.9941244125366211,0.9773619771003723,1.0736857652664185,1.0385757684707642,1.02979576587677,1.0766665935516357,1.079923152923584,1.023461103439331,1.0991277694702148,1.069577932357788,1.037674903869629,1.087364912033081,0.9946016073226929,1.1082758903503418
2layers_push5_pull5_avg3_inhibition0.5,0.2733476758003235,1.0395971536636353,1.0262503623962402,1.036125898361206,1.0448557138442993,1.0256379842758179,0.9739280343055725,1.0148289203643799,1.0072197914123535,1.1041814088821411,1.0261749029159546,1.0843656063079834,1.0971897840499878,1.0534666776657104,1.030108094215393,0.9697681069374084,1.0998562574386597
2layers_push5_pull5_avg3_inhibition1.0,0.2871994972229004,1.0575928688049316,0.9863420724868774,1.0100653171539307,0.998167872428894,1.0430961847305298,0.9666361212730408,1.0486891269683838,1.0290672779083252,1.1476765871047974,1.073060393333435,1.1413660049438477,1.1692932844161987,1.1039053201675415,1.0611096620559692,0.9621914029121399,1.1232266426086426
2layers_push5_pull5_avg3_inhibition1.5,0.30866706371307373,1.0550340414047241,0.9394028782844543,1.0026545524597168,0.936943769454956,1.0073885917663574,0.9454043507575989,0.9987110495567322,0.9976582527160645,1.1773076057434082,1.0355877876281738,1.1917259693145752,1.1982942819595337,1.140833854675293,1.0680232048034668,1.0047460794448853,1.1808280944824219
2layers_push5_pull5_avg5_inhibition0.5,0.2882313132286072,1.0842337608337402,0.9746689200401306,1.0173388719558716,0.9772905111312866,1.0990848541259766,1.0212143659591675,1.1035699844360352,1.0995426177978516,1.1414068937301636,1.0849156379699707,1.1626516580581665,1.1568753719329834,1.082450270652771,1.0993156433105469,1.1018880605697632,1.1412925720214844
2layers_push5_pull5_avg5_inhibition1.0,0.2878795266151428,1.0797821283340454,0.9786493182182312,1.011220932006836,0.9929017424583435,1.0707329511642456,1.0150288343429565,1.1195741891860962,1.076024055480957,1.1302361488342285,1.0355623960494995,1.206321358680725,1.1455971002578735,1.1358648538589478,1.1105728149414062,1.028221607208252,1.1402226686477661
2layers_push5_pull5_avg5_inhibition1.5,0.3074127435684204,1.1331677436828613,0.9907318353652954,1.023858904838562,1.0040600299835205,1.1209737062454224,1.0069806575775146,1.1315933465957642,1.1573210954666138,1.1948984861373901,1.1278029680252075,1.3015366792678833,1.2589571475982666,1.215065598487854,1.1657756567001343,1.102840542793274,1.1951210498809814
